type,title,director,cast,date_added,release_year,rating
Movie,Rock My Heart,Hanno Olderdissen,"Shruti Seth, Kavi Shastri, Siddhant Karnick, Kavin Dave",2019-06-07,2019,TV-PG
Movie,Rock On!!,Abhishek Kapoor,"David Kross, Frederick Lau, Janina Uhse, Anne Schäfer, Sophia Thomalla",2019-12-15,2008,TV-14
Movie,Rocko's Modern Life: Static Cling,Joe Murray Cosmo Segurson,,2019-08-09,2019,TV-Y7
Movie,Rocky,John G. Avildsen,"Mille Dinesen, Carsten Bjørnlund, Lise Baastrup, Nikolaj Groth, Ellen Hillingsø, Morten Vang Simonsen, Lykke Sand Michelsen, Carsten Norgaard, Sara Hjort Ditlevsen, Alexandre Willaume",2019-08-01,1976,PG
Movie,Rocky Handsome,Nishikant Kamat,"Deepti Naval, Vijay Raaz, Meghna Naidu, Saadhika Randhawa, Ritisha Vijayvargya, Manoj Biddvai, Sayaji Shinde, Reema Lagoo",2017-02-17,2016,TV-MA
Movie,Rocky II,Sylvester Stallone,,2019-08-01,1979,PG
Movie,Rocky III,Sylvester Stallone,"Fumi Nikaido, Ryo Yoshizawa, Shuhei Uesugi, Sumire, Shiori Doi, Aoi Morikawa",2019-08-01,1982,PG
Movie,Rocky IV,Sylvester Stallone,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich",2019-08-01,1985,PG
Movie,Angry Indian Goddesses,Pan Nalin,"Tommy the Clown, Tight Eyez",2017-03-14,2015,TV-MA
Movie,Rocky V,John G. Avildsen,"Takanori Iwata, Nobuyuki Suzuki, Keita Machida, Akira, Sho Aoyagi, Keiji Kuroki, Yuki Yamada, Masataka Kubota, Kento Hayashi, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Takahiro, Hiroomi Tosaka, Tatsuya Nakamura, Arata Iura",2019-08-01,1990,PG-13
Movie,Rodney Carrington: Here Comes the Truth,Brandon Jones,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro, Kevin Nealon",2017-10-03,2017,TV-MA
Movie,Rodney King,Spike Lee,,2017-04-28,2017,TV-MA
Movie,Roger Corman's Death Race 2050,G.J. Echternkamp,"Paresh Rawal, Om Puri, Pavan Malhotra, Javed Sheikh, Swati Chitnis, Masood Akhtar, Sudhir Nema, Rakesh Srivastava",2017-01-17,2017,R
Movie,Rogue City,Olivier Marchal,"Genevieve Nnaji, Oris Erhuero, Majid Michel",2020-10-30,2020,TV-MA
Movie,Rogue Warfare,Mike Gunther,"Nestor Aaron Absera, Julianna Guill, Preston Jones, Julia Levy-Boeken, Danny Pudi, Michael Trotter, Daniel Newman, DJ Qualls",2020-03-28,2019,R
Movie,Rogue Warfare: The Hunt,Mike Gunther,Rob Schneider,2020-08-01,2020,R
Movie,Roh's Beauty,Sameh Abdulaziz,Pierfrancesco Diliberto,2019-04-19,2014,TV-MA
Movie,Roll Red Roll,Nancy Schwartzman,"Ben Freeman, James Oliver Wheatley, Marie Everett, Jamie Kenna, James Groom, James G. Nunn, Martyn Ford, Gareth David-Lloyd, Brian Blessed, Kristian Nairn",2019-08-08,2018,TV-MA
Movie,Roll With Me,,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",2018-12-01,2017,TV-MA
Movie,Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas,"Bill Rogers, Carrie Savage, Ken Spassione, Angela Mulligan, Mark Szabo, Daniel J. Edwards, Mike Pollock, Anthony Salerno",2020-03-05,2020,TV-14
Movie,Rolling Papers,Mitch Dickman,"Jean-Claude Ballard, Gregory Snegoff, Cam Clarke, Melissa Newman, Tony Oliver, Larry Abraham, Robert Axelrod, Robert V. Barron",2017-09-08,2015,TV-MA
Movie,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",2019-06-12,2019,TV-MA
Movie,ROMA,Alfonso Cuarón,"Taylor Clarke-Hill, Tom Clarke-Hill, Larissa Murray, Brianna Price, Michael Obiora, Morwenna Banks, Rufus Jones, Duncan Wisbey, Danny John-Jules, Ali A",2018-12-14,2018,R
TV Show,Roman Empire: Reign of Blood,,Rocco Siffredi,2019-04-05,2019,TV-MA
Movie,Romance Doll,Yuki Tanada,"Lena Klenke, Dieter Hallervorden, Emilio Sakraya, Annette Frier, Milan Peschel, Vedat Erincin, Johann von Bülow, Michael Lott, Hans Martin Stier, Anneke Kim Sarnau",2020-07-24,2020,TV-MA
TV Show,Romance is a bonus book,,"Farhan Akhtar, Arjun Rampal, Purab Kohli, Luke Kenny, Prachi Desai, Shahana Goswami, Koel Purie",2019-02-03,2019,TV-14
Movie,Romantik Komedi,Ketche,"Carlos Alazraqui, Tom Kenny, Charlie Adler, Jill Talley, Mr. Lawrence, Joe Murray",2017-03-10,2010,NR
Movie,Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David, Joe Spinell, Jimmy Gambina, Bill Baldwin",2017-03-10,2013,TV-14
Movie,Romeo Akbar Walter,Robbie Grewal,"John Abraham, Diya Chalwad, Shruti Haasan, Nishikant Kamat, Sharad Kelkar, Nathalia Kaur",2019-06-30,2019,TV-14
Movie,Romeo Ranjha,Navaniat Singh,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Joe Spinell, Leonard Gaines, John Pleshette, Sylvia Meals",2017-11-01,2014,TV-14
Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Mr. T, Hulk Hogan, Ian Fried",2020-09-10,2018,TV-14
Movie,Romina,Diego Cohen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki",2018-07-13,2018,TV-MA
Movie,Ron White: If You Quit Listening I'll Shut Up,Tom Forrest,"Amrit Maghera, Rajshri Deshpande, Pavleen Gujral, Anushka Manchanda, Sandhya Mridul, Sarah-Jane Dias, Tannishtha Chatterjee, Adil Hussain, Arjun Mathur, Anuj Choudhry",2018-10-16,2018,TV-MA
Movie,Ronnie Coleman: The King,Vlad Yudin,"Sylvester Stallone, Talia Shire, Burt Young, Richard Gant, Tommy Morrison, Sage Stallone, Burgess Meredith, Tony Burton",2018-10-25,2018,TV-MA
Movie,Ronny Chieng: Asian Comedian Destroys America!,Sebastian DiNatale,Rodney Carrington,2019-12-17,2019,TV-MA
TV Show,Rookie Historian Goo Hae-Ryung,,Roger Guenveur Smith,2019-07-18,2019,TV-14
Movie,Room,Lenny Abrahamson,"Manu Bennett, Malcolm McDowell, Marci Miller, Burt Grinstead, Folake Olowofoyeku, Ramsey Moore, Yancy Butler, Charlie Farrell, Shanna Olson",2018-07-19,2015,R
TV Show,Room 2806: The Accusation,Jalil Lespert,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",2020-12-07,2020,TV-MA
Movie,Room for Rent,Matthew Atkinson,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",2019-03-01,2017,TV-MA
Movie,Room on the Broom,Max Lang Jani Lachauer,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",2019-07-01,2012,TV-Y7
TV Show,Roonpi Secret Love,,"Haifa Wehbe, Bassem Samra, Mohamed Lotfy, Ahmed Fathy, Nagua Fouad, Ahlam Al-Gritly, Karim El Abnoudi, Salah Abdullah, Hakim, Usha",2019-06-21,2016,TV-14
Movie,ANIMA,Paul Thomas Anderson,,2019-06-27,2019,TV-PG
Movie,Rooting for Roona,Pavitra Chalam Akshay Shankar,,2020-10-15,2020,TV-PG
Movie,Roots,Shweta Basu Prasad,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",2017-11-01,2016,TV-PG
Movie,Roped,Shaun Paul Piccinino,,2020-05-02,2020,PG
Movie,Rory Scovel Tries Stand-Up for the First Time,Scott Moran,"Bob Dylan, Allen Ginsberg, Joan Baez, Patti Smith, Roger McGuinn, Sam Shepard, Sharon Stone, Joni Mitchell, Scarlet Rivera, Ramblin' Jack Elliott, Ronnie Hawkins, Anne Waldman, Ronee Blakley",2017-06-20,2017,TV-MA
TV Show,Rosario Tijeras,,"Yalitza Aparicio, Marina de Tavira",2019-05-20,2018,TV-MA
Movie,Rose Island,Sydney Sibilia,"Sean Bean, Aaron Jakubenko, Edwin Wright, Mike Edward, Genevieve Aitken, John Bach, Tai Berdinner-Blades, Jared Turner, Andrew Foster, Calum Gittins, Shane Bartle, Ella Becroft, Lisa Chappell, Emma Fenton, Phil Brown, Carl Bland, Adam Gardiner",2020-12-09,2020,TV-14
Movie,Rosemary's Baby,Roman Polanski,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",2019-11-01,1968,R
TV Show,Roswell New Mexico,,"Lee Jong-suk, Lee Na-young, Jung Eugene, Wi Ha-jun, Kim Tae-woo, Kim Yu-mi, Cho Han-cheul, Kim Sun-young",2020-06-23,2020,TV-14
TV Show,Rotten,,"Sedef Avcı, Cemal Hünal, Begüm Kütük, Engin Altan Düzyatan, Sinem Kobal, Gürgen Öz, Burcu Kara, Kubilay Penbeklioğlu",2019-10-04,2019,TV-MA
Movie,Rounders,John Dahl,"Sinem Kobal, Engin Altan Düzyatan, Sedef Avcı, Cemal Hünal, Burcu Kara, Gürgen Öz, Öykü Çelik, Gökçe Özyol",2019-11-01,1998,R
Movie,Animal Crackers,Tony Bancroft Scott Christian Sava,"John Abraham, Jackie Shroff, Mouni Roy, Sikander Kher, Raghuvir Yadav, Alka Amin, Rajesh Shringarpure, Anil George",2020-07-24,2020,TV-Y7
Movie,Rowdy Rathore,Prabhu Deva,"Jazzy B, Garry Sandhu, Monica Bedi, Parul Gulati, Rana Ranbir, Yograj Singh, Rana Jung Bahadur, Sanga Jagir",2018-08-02,2012,TV-14
Movie,Roxanne Roxanne,Michael Larnell,"Subodh Bhave, Vaidehi Parshurami, Nandita Patkar, Sonali Kulkarni, Sumeet Raghvan, Prasad Oak, Anand Ingale, Suhas Palshikar",2018-03-23,2018,TV-MA
TV Show,Rubi,,"Francisca Lozano, Oliver Nava, Arantza Ruiz, Claudia Zepeda, Walter Bercht, Roberto Beck, Victor Bonilla, Eduardo Negrete",2017-12-31,2004,TV-PG
Movie,Rudy Habibie,Hanung Bramantyo,Ron White,2019-01-28,2016,TV-14
TV Show,Rugal,,Ronnie Coleman,2020-03-29,2020,TV-MA
Movie,Rugrats in Paris: The Movie,Stig Bergqvist Paul Demeyer,Ronny Chieng,2019-10-01,2000,G
Movie,Rukh,Atanu Mukherjee,"Shin Sae-kyeong, Cha Eun-woo, Park Ki-woong, Lee Ji-hoon, Park Ji-hyun, Gong Jung-hwan, Kim Min-sang, Choi Duk-mun, Kim Yeo-jin",2018-04-01,2017,TV-MA
Movie,Rumble,R. Ellis Frazier,"Brie Larson, Jacob Tremblay, Joan Allen, Sean Bridgers, Tom McCamus, William H. Macy, Cas Anvar, Amanda Brugel, Wendy Crewson, Sandy McMaster",2017-09-15,2016,TV-MA
Movie,Rumble in the Bronx,Stanley Tong,,2019-11-01,1995,R
Movie,100 Days Of Solitude,,"Brett Gelman, Mark Little, Carla Gallo, Stephnie Weir, Patrick J. Adams, Mark McKinney",2018-07-06,2018,TV-MA
Movie,Animal World,Han Yan,"Simon Pegg, Gillian Anderson, Rob Brydon, Martin Clunes, Sally Hawkins, David Walliams, Timothy Spall",2018-09-28,2018,TV-MA
Movie,Rumor Has It,Rob Reiner,"Kanyawee Songmuang, Korapat Kirdpan",2019-08-01,2005,PG-13
Movie,Run,Jeeva,Thom Yorke,2018-03-01,2004,TV-14
TV Show,Run On,,,2020-12-17,2020,TV-MA
Movie,Runaway Bride,Garry Marshall,,2020-12-01,1999,PG
Movie,Running for Grace,David L. Cunningham,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2019-06-19,2018,TV-14
TV Show,Running Man,,Rory Scovel,2021-01-01,2020,TV-Y7
Movie,Running Out Of Time,Chris Stokes,"Bárbara de Regil, José María de Tavira, Antonio Gaona, Hernán Mendoza, Vanessa Bauche, Christian Vasquez, José Sefami, Ariel López Padilla",2019-08-01,2018,TV-14
Movie,Running Shaadi,Amit Roy,"Elio Germano, Matilda De Angelis, Tom Wlaschiha, Luca Zingaretti, Fabrizio Bentivoglio, Leonardo Lidi, François Cluzet",2018-04-30,2017,TV-14
TV Show,Rurouni Kenshin,,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans, Ralph Bellamy, Patsy Kelly, Elisha Cook Jr., Emmaline Henry, Charles Grodin",2020-01-01,1998,TV-14
Movie,Rush: Beyond the Lighted Stage,Sam Dunn Scot McFadyen,"Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles, Tyler Blackburn, Heather Hemmens, Michael Trevino, Trevor St. John",2017-02-15,2010,TV-MA
Movie,Animas,Laura Alvea José Ortuño,,2019-01-25,2018,TV-MA
Movie,RUSSELL BRAND: RE:BIRTH,Chris Howe,"Matt Damon, Edward Norton, John Turturro, Gretchen Mol, Famke Janssen, John Malkovich, Martin Landau, Michael Rispoli, Josh Mostel, Tom Aldredge",2018-12-04,2018,TV-MA
Movie,Russell Howard: Recalibrate,Peter Orton,"Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor",2017-12-19,2017,TV-MA
Movie,Russell Madness,Robert Vince,"Akshay Kumar, Sonakshi Sinha, Nasser, Yashpal Sharma, Paresh Ganatra, Gurdip Kohli, Mushtaq Khan, Amit Kumar Tiwari",2015-05-10,2015,PG
TV Show,Russell Peters vs. the World,,"Chanté Adams, Mahershala Ali, Nia Long, Elvis Nolasco, Kevin Phillips, Shenell Edmonds",2013-10-14,2013,NR
Movie,Russell Peters: Almost Famous,Dave Higby,"Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle",2016-10-07,2016,TV-MA
Movie,Russell Peters: Notorious,Dave Higby,"Bárbara Mori, Eduardo Santamarina, Sebastián Rulli, Jacqueline Bracamontes, Ana Martín, Yadhira Carrillo, Miguel Pizarro, Manuel Landeta, Antonio Medellin, Ana Bertha Espín, José Elías Moreno, Olivia Bucio",2013-10-14,2013,NR
TV Show,Russian Doll,,"Reza Rahadian, Chelsea Islan, Dian Nitami, Indah Permatasari, Ernest Prakasa, Boris Bokir, Rey Bong, Cornelio Sunny, Pandji Pragiwaksono, Bastian Bintang Simbolon",2019-02-01,2019,TV-MA
Movie,Rust Creek,Jen McGowan,"Choi Jin-hyuk, Park Sung-woong, Cho Dong-hyuk, Jung Hye-in, Han Ji-wan, Park Sun-ho, Kim Min-sang",2020-11-30,2019,R
TV Show,Rust Valley Restorers,,"Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh, Cree Summer, Kath Soucie, Michael Bell, Tress MacNeille, Casey Kasem, Joe Alaskey, Debbie Reynolds, Jack Riley, Susan Sarandon, John Lithgow",2020-08-21,2020,TV-14
Movie,Rustom,Dharmendra Suresh Desai,"Adarsh Gourav, Manoj Bajpayee, Smita Tambe, Kumud Mishra",2017-01-06,2016,TV-14
TV Show,Anitta: Made In Honório,Andrucha Waddington Pedro Waddington,"Gary Daniels, Luis Gatica, Sissi Fleitas, Eddie J. Fernandez, Fabián López, Justin Nesbitt, Pedro Rodman Rodriguez",2020-12-16,2020,TV-MA
Movie,Ryan Hamilton: Happy Face,Marcus Raboy,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream, Garvin Cross, Morgan Lam, Ailen Sit",2017-08-29,2017,TV-14
Movie,S Is for Stanley,Alex Infascelli,,2017-06-15,2016,TV-MA
Movie,S Storm,David Lam,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke",2018-10-19,2016,TV-MA
Movie,S.W.A.T.,Clark Johnson,"Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo, Richard Jenkins, Christopher McDonald, Steve Sandvoss, Mena Suvari, Mike Vogel",2021-01-01,2003,PG-13
Movie,Sí Mi Amor,Pedro Flores Maldonado,"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar, Vijay Raaz, Mukesh Rishi, Ayesha Jhulka, Anjan Srivastav, Goga Kapoor, Mukul Agarwal, Shweta Menon",2020-05-06,2020,TV-MA
Movie,Saadey CM Saab,Vipin Parashar,"Yim Si-wan, Shin Sae-kyeong, Choi Soo-young, Kang Tae-oh, Park Yeong-gyu, Cha Hwa-yeon, Lee Bong-ryeon, Ryu Abell, Seo Jae-hee, Yeon Je-wook, Choi Jae-hyun, Lee Jeong-ha, Park Sung-jun, Lee Hwang-eui, Lee Shin-ki, Kim Dong-yeong, Kim Si-eun, Kim Si-young",2018-10-01,2015,TV-PG
Movie,Saaho,Sujeeth,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo, Rita Wilson, Paul Dooley, Christopher Meloni, Donal Logue, Reg Rogers, Yul Vazquez, Jane Morris, Lisa Roberts, Kathleen Marshall, Jean Schertler, Tom Hines",2019-12-08,2019,TV-14
Movie,Saath Saath,Raman Kumar,"Ryan Potter, Matt Dillon, Jim Caviezel, Olivia Ritchie, Juliet Mills, Nick Boraine, Rumi Oyama",2019-12-31,1982,TV-14
Movie,Saavat,Saurabh Sinha,"Kim Seo-yeong, Um Sang-hyun, Kwon Changwook, Kim Yeon-woo, Kang Shi-hyun, Jeon Tae-yeol, Nam Do-hyeong, Park No-sik",2019-08-23,2019,TV-14
Movie,Saawan,Farhan Alam,"Tasha Smith, RonReaco Lee, Telma Hopkins, Sydney Elise Johnson, Sean Dominic, Dustin Harnish, Paul Logan, Kearia Schroeder, Michael Toland, Anton Peeples",2019-09-04,2016,TV-14
Movie,Anjaan,N. Linguswamy,"Amit Sadh, Tapsee Pannu, Arsh Bajwa, Brijendra Kala, Mahavir Bhullar, Pankaj Jha, Neeta Mohindra",2018-10-01,2014,TV-14
TV Show,Sab Jholmaal Hai,Vijay Roche,"Mayo Suzukaze, Miki Fujitani, Miina Tominaga, Yuji Ueda, Mika Doi, Yoshito Yasuhara, Hirotaka Suzuoki, Tomo Sakurai, Shuichi Ikeda",2020-10-18,2017,TV-Y7
Movie,Sabrina,Rocky Soraya,,2018-11-20,2018,TV-MA
TV Show,Sacred Games,Vikramaditya Motwane Anurag Kashyap,"Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina",2019-08-15,2019,TV-MA
Movie,Sacro GRA,Gianfranco Rosi,Russell Brand,2017-03-21,2013,TV-MA
Movie,Sad Hill Unearthed,Guillermo de Oliveira,Russell Howard,2018-12-15,2017,TV-14
Movie,Sadece Sen,Hakan Yonat,"David Milchard, John Ratzenberger, Will Sasso, Mason Vale Cotton, John Hennigan, Sean Giambrone, Charles Robinson, Mckenna Grace, Kate Reinders, Fred Willard",2017-03-10,2014,TV-MA
Movie,Sadie's Last Days on Earth,Michael Seater,Russell Peters,2017-08-22,2016,TV-14
Movie,Sadma,Balu Mahendra,Russell Peters,2019-12-31,1983,TV-14
TV Show,Sadqay Tumhare,Ehtesham Uddin,Russell Peters,2016-12-15,2014,TV-PG
Movie,Saeed Mirza: The Leftist Sufi,Kireet Khurana Padmakumar Narasimhamurthy,"Natasha Lyonne, Charlie Barnett, Yul Vazquez, Elizabeth Ashley, Dascha Polanco, Jeremy Bobb, Greta Lee, Rebecca Henderson, Brendan Sexton III, Chloë Sevigny, Brooke Timber",2017-05-01,2016,TV-MA
TV Show,Anjaan: Rural Myths,,"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman, Micah Hauptman, Daniel R. Hill, Jeremy Glazer, John Marshall Jones, Laura Guzman, Jake Kidwell",2018-12-15,2018,TV-14
TV Show,Safe,,"Mike Hall, Michael Daingerfield",2019-02-05,2018,TV-MA
Movie,Safety Not Guaranteed,Colin Trevorrow,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta, Pavan Malhotra, Parmeet Sethi, Sachin Khedekar, Anang Desai, Kumud Mishra, Brijendra Kala, Usha Nadkarni, Kanwaljeet Singh",2020-08-13,2012,R
Movie,Sahara,Pierre Coré,Anitta,2017-05-12,2017,TV-Y7
Movie,Saheb Bibi Golaam,Pratim D. Gupta,Ryan Hamilton,2017-01-01,2016,TV-MA
Movie,Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,,2020-09-19,2013,TV-MA
TV Show,Saint Seiya,,"Louis Koo, Julian Cheung, Vic Chou, Ada Choi, Bowie Lam, Dada Chan, Janelle Sing, Lo Hoi-pang",2020-04-01,1986,TV-14
TV Show,Saint Seiya: The Lost Canvas,,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J, Josh Charles, Jeremy Renner, Brian Van Holt, Olivier Martinez, Reg E. Cathey, Larry Poindexter, Page Kennedy, Domenick Lombardozzi, James DuMont",2018-05-15,2009,TV-MA
Movie,Sairat,Nagraj Manjule,"Yiddá Eslava, Julián Zucchi, Andrés Salas, Magdyel Ugaz, Pietro Sibille, Saskia Bernaola, Sebastián Monteghirfo, Mayra Olivera",2018-04-01,2016,TV-14
Movie,Sakaling Maging Tayo,JP Habac,"Harbhajan Mann, Kashish Singh, Gurpreet Guggi, Rahul Singh, Dev Gill, Inder Bajwa",2020-12-17,2019,TV-14
Movie,Sakhi,Sanjay Soorkar,"Prabhas, Shraddha Kapoor, Jackie Shroff, Chunky Pandey, Neil Nitin Mukesh, Arun Vijay, Vennela Kishore, Murli Sharma, Lal, Prakash Belawadi, Mahesh Manjrekar, Tinnu Anand",2018-02-15,2007,TV-PG
TV Show,Anjaan: Special Crimes Unit,,"Deepti Naval, Farooq Shaikh, Satish Shah, Iftekhar, A.K. Hangal, Neena Gupta, Avtar Gill, Javed Khan",2018-05-01,2018,TV-14
TV Show,Sakho & Mangane,,"Smita Tambe, Milind Shirole, Shwetambari Ghute, Shitanshu Kumar Sharad, Nishikant Rawji, Sanjivani Khanvilkar",2020-12-27,2019,TV-MA
Movie,Salaakhen,A. Salaam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",2017-04-01,1975,TV-14
Movie,Saladin,Youssef Chahine,"Suriya, Samantha Ruth Prabhu, Vidyut Jammwal, Manoj Bajpayee, Soori",2020-06-18,1963,TV-MA
Movie,Salam - The First ****** Nobel Laureate,Anand Kamalakar,,2019-10-02,2018,TV-PG
Movie,Salem: His Sister's Father,Mohamed Hamdy,"Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas, Richelle Georgette Skornicki, Rizky Hanggono, Asri Handayani",2019-06-22,2014,TV-14
TV Show,Salt Fat Acid Heat,,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte, Neeraj Kabi, Jitendra Joshi",2018-10-11,2018,TV-PG
TV Show,Sam & Cat,,,2019-11-05,2014,TV-PG
Movie,Sam Jay: 3 In The Morning,Kristian Mercado,,2020-08-04,2020,TV-MA
Movie,Sam Kinison: Breaking the Rules,Walter C. Miller,"Belçim Bilgin, İbrahim Çelikkol, Kerem Can, Necmi Yapıcı, Levent Sülün, Barış Arduç, Erol Gedik, Cezmi Baskın",2018-12-31,1987,TV-MA
Movie,Sam Kinison: Family Entertainment Hour,Walter C. Miller,"Morgan Taylor Campbell, Clark Backo, Ricardo Hoyos, Munro Chambers, Paula Brancati, Helene Joy, Peter Keleghan, George Stroumboulopoulos, John Ralston, Emilia McCarthy",2018-12-31,1991,TV-MA
Movie,Anjelah Johnson: Not Fancy,Jay Karas,"Kamal Hassan, Sridevi, Silk Smitha, Gulshan Grover, Paintal, Arvind Deshpande",2015-10-02,2015,TV-14
Movie,Sam Kinison: Live in Vegas,Walter C. Miller,"Mahira Khan, Samiya Mumtaz, Adnan Malik, Rehan Sheikh, Sanya Shamshad, Qavi Khan",2018-12-31,1991,TV-MA
Movie,Sam Kinison: The Scream Continues,,Saeed Akhtar Mirza,2018-12-31,2016,TV-MA
Movie,Samantaral,Partha Chakraborty,,2018-09-15,2017,TV-MA
TV Show,Samantha!,,"Michael C. Hall, Amanda Abbington, Marc Warren, Hannah Arterton, Audrey Fleurot, Nigel Lindsay",2019-04-19,2019,TV-MA
Movie,Samarppanam,K. Gopinathan,"Aubrey Plaza, Mark Duplass, Jake Johnson, Mary Lynn Rajskub, Jeff Garlin, Kristen Bell, Jenica Bergere, Karan Soni",2018-03-01,2017,TV-PG
Movie,Same Kind of Different as Me,Michael Carney,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball",2018-08-17,2017,PG-13
Movie,Sameer Abu Alneel,Amr Arafa,"Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Parno Mittra, Bikram Chatterjee, Sohag Sen, Sumanta Mukherjee, Arun Mukhopadhyay",2019-06-06,2013,TV-14
TV Show,Sammy & Co,,"Irrfan Khan, Jimmy Shergill, Soha Ali Khan, Mahie Gill, Raj Babbar, Deep Raj Rana, Rajiv Gupta, Sitaram Panchal, Rajesh Khera, Mugdha Godse",2015-12-25,2014,TV-Y
Movie,Sample This,Dan Forrer,"Toru Furuya, Hirotaka Suzuoki, Ryo Horikawa, Koichi Hashimoto, Hideyuki Hori, Keiko Han, Yuriko Yamamoto, Kohei Miyauchi, Mami Koyama",2016-09-15,2012,TV-14
Movie,Samson,Bruce MacDonald Gabriel Sabloff,"Tetsuya Kakihara, Hiro Shimono, Aya Hirano, Atsushi Abe, Sanae Kobayashi, Kenta Miyake, Tomohiro Tsuboi, Nana Mizuki, Shigeru Chiba",2018-12-14,2018,PG-13
Movie,Ankhon Dekhi,Rajat Kapoor,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde, Suresh Vishwakarma",2020-09-28,2013,TV-PG
Movie,Samudri Lootere,Anirban Majumder,"McCoy De Leon, Elisse Joson, Bembol Roco, Chai Fonacier, Paulo Angeles, Markus Paterson, Milo Elmido Jr.",2019-06-18,2018,TV-Y
